Fecha,Clics,Impresiones,CTR,Posición
2025-06-14,2,32,6.25%,20
2025-06-15,1,32,3.12%,23
2025-06-16,3,65,4.62%,20.2
2025-06-17,3,67,4.48%,12.3
2025-06-18,5,70,7.14%,13.8
2025-06-19,11,94,11.7%,16.9
2025-06-20,1,45,2.22%,17.4
2025-06-21,0,30,0%,19.3
2025-06-22,3,37,8.11%,18.6
2025-06-23,6,70,8.57%,19
2025-06-24,7,91,7.69%,13.5
2025-06-25,8,64,12.5%,25.5
2025-06-26,4,66,6.06%,11.6
2025-06-27,1,52,1.92%,17.5
2025-06-28,1,20,5%,19.6
2025-06-29,3,22,13.64%,22.4
2025-06-30,3,56,5.36%,14.1
2025-07-01,5,61,8.2%,9.7
2025-07-02,4,83,4.82%,15.3
2025-07-03,7,82,8.54%,7.4
2025-07-04,5,70,7.14%,10.6
2025-07-05,1,38,2.63%,20
2025-07-06,4,33,12.12%,13.2
2025-07-07,5,92,5.43%,10.8
2025-07-08,6,95,6.32%,14.1
2025-07-09,6,118,5.08%,14.7
2025-07-10,4,102,3.92%,15.4
2025-07-11,8,63,12.7%,10.5
2025-07-12,0,33,0%,25.1
2025-07-13,1,43,2.33%,12.5
2025-07-14,1,104,0.96%,10.8
2025-07-15,6,125,4.8%,12.5
2025-07-16,9,142,6.34%,11.9
2025-07-17,11,124,8.87%,11.4
2025-07-18,3,99,3.03%,11.9
2025-07-19,0,50,0%,16.9
2025-07-20,3,36,8.33%,12.2
2025-07-21,7,101,6.93%,8.4
2025-07-22,3,122,2.46%,9.6
2025-07-23,9,110,8.18%,14.5
2025-07-24,2,127,1.57%,16.2
2025-07-25,4,77,5.19%,14.5
2025-07-26,1,29,3.45%,17.5
2025-07-27,2,44,4.55%,16.7
2025-07-28,6,117,5.13%,13
2025-07-29,6,142,4.23%,11.9
2025-07-30,8,115,6.96%,9.7
2025-07-31,9,99,9.09%,8.1
2025-08-01,4,106,3.77%,13.3
2025-08-02,0,40,0%,18.2
2025-08-03,4,60,6.67%,12.2
2025-08-04,5,96,5.21%,12.7
2025-08-05,9,147,6.12%,11.4
2025-08-06,5,107,4.67%,11.6
2025-08-07,6,135,4.44%,10.2
2025-08-08,4,95,4.21%,11.4
2025-08-09,2,40,5%,13.1
2025-08-10,2,58,3.45%,8.2
2025-08-11,2,75,2.67%,10.6
2025-08-12,6,147,4.08%,9.2
2025-08-13,7,134,5.22%,11.7
2025-08-14,8,142,5.63%,11.2
2025-08-15,5,103,4.85%,8.2
2025-08-16,3,70,4.29%,14.4
2025-08-17,3,47,6.38%,8.7
2025-08-18,10,132,7.58%,9.6
2025-08-19,9,136,6.62%,11.5
2025-08-20,3,116,2.59%,10.8
2025-08-21,5,126,3.97%,10.4
2025-08-22,2,99,2.02%,9.7
2025-08-23,1,70,1.43%,12.5
2025-08-24,2,64,3.12%,10.1
2025-08-25,11,139,7.91%,8.2
2025-08-26,10,140,7.14%,10.1
2025-08-27,9,166,5.42%,10.6
2025-08-28,4,207,1.93%,10.4
2025-08-29,4,142,2.82%,10.4
2025-08-30,2,63,3.17%,15.8
2025-08-31,2,68,2.94%,17.8
2025-09-01,4,222,1.8%,7.9
2025-09-02,7,201,3.48%,9
2025-09-03,8,173,4.62%,8.7
2025-09-04,9,228,3.95%,18.3
2025-09-05,9,213,4.23%,10.9
2025-09-06,6,92,6.52%,15.2
2025-09-07,0,97,0%,19.4
2025-09-08,9,219,4.11%,8.8
2025-09-09,10,201,4.98%,11.4
2025-09-10,4,207,1.93%,10.6
2025-09-11,4,217,1.84%,9.6
2025-09-12,5,158,3.16%,7.8
2025-09-13,1,81,1.23%,7.5
2025-09-14,4,95,4.21%,7.6
2025-09-15,4,199,2.01%,7.7
2025-09-16,3,174,1.72%,8
2025-09-17,8,177,4.52%,8.9
2025-09-18,4,155,2.58%,7.6
2025-09-19,10,184,5.43%,12.5
2025-09-20,1,87,1.15%,10.8
2025-09-21,5,100,5%,7.5
2025-09-22,4,177,2.26%,7.8
2025-09-23,8,226,3.54%,8.3
2025-09-24,2,191,1.05%,8.5
2025-09-25,12,168,7.14%,7.8
2025-09-26,7,178,3.93%,8
2025-09-27,1,122,0.82%,7.5
2025-09-28,1,100,1%,9.5
2025-09-29,3,208,1.44%,8.4
2025-09-30,3,197,1.52%,8
2025-10-01,3,204,1.47%,8.1
2025-10-02,9,292,3.08%,7.6
2025-10-03,7,171,4.09%,7.5
2025-10-04,2,91,2.2%,8.7
2025-10-05,2,104,1.92%,7.9
2025-10-06,7,249,2.81%,8.9
2025-10-07,8,239,3.35%,8.4
2025-10-08,4,239,1.67%,9.7
2025-10-09,4,109,3.67%,8.4
2025-10-10,1,99,1.01%,9.2
2025-10-11,0,76,0%,9.7
2025-10-12,5,112,4.46%,9.5
2025-10-13,5,221,2.26%,8.3
2025-10-14,10,245,4.08%,8.8
2025-10-15,9,249,3.61%,8.3
2025-10-16,7,217,3.23%,8.6
2025-10-17,7,212,3.3%,8.4
2025-10-18,2,95,2.11%,8.4
2025-10-19,7,148,4.73%,8.2
2025-10-20,13,276,4.71%,8.2
2025-10-21,3,237,1.27%,9
2025-10-22,8,269,2.97%,8.6
2025-10-23,8,261,3.07%,8.4
2025-10-24,2,205,0.98%,8.2
2025-10-25,5,90,5.56%,10
2025-10-26,1,104,0.96%,8
2025-10-27,6,237,2.53%,8.6
2025-10-28,5,228,2.19%,8.1
2025-10-29,8,226,3.54%,9.2
2025-10-30,8,218,3.67%,8.7
2025-10-31,6,148,4.05%,8
2025-11-01,2,90,2.22%,9.6
2025-11-02,3,69,4.35%,8.8
2025-11-03,4,101,3.96%,9.1
2025-11-04,5,103,4.85%,8.5
2025-11-05,6,200,3%,8.5
2025-11-06,7,245,2.86%,8.7
2025-11-07,5,208,2.4%,8.1
2025-11-08,4,137,2.92%,7.2
2025-11-09,3,108,2.78%,7.6
2025-11-10,6,294,2.04%,8
2025-11-11,11,253,4.35%,7.9
2025-11-12,6,242,2.48%,7.8
2025-11-13,15,270,5.56%,7.6
2025-11-14,1,162,0.62%,8.3
2025-11-15,2,131,1.53%,7.2
2025-11-16,1,104,0.96%,8
2025-11-17,7,257,2.72%,7.7
2025-11-18,8,267,3%,8.2
2025-11-19,4,271,1.48%,8.1
2025-11-20,10,240,4.17%,7.6
2025-11-21,4,219,1.83%,8.6
2025-11-22,8,122,6.56%,7.8
2025-11-23,4,137,2.92%,7.6
2025-11-24,6,296,2.03%,7.3
2025-11-25,9,315,2.86%,7.3
2025-11-26,13,342,3.8%,7.6
2025-11-27,8,282,2.84%,7.8
2025-11-28,9,272,3.31%,7.9
2025-11-29,0,112,0%,7.9
2025-11-30,8,203,3.94%,7.2
2025-12-01,9,321,2.8%,8.2
2025-12-02,8,365,2.19%,8.4
2025-12-03,13,339,3.83%,8
2025-12-04,2,299,0.67%,8.3
2025-12-05,6,229,2.62%,8
2025-12-06,5,93,5.38%,7
2025-12-07,2,166,1.2%,7.6
2025-12-08,9,339,2.65%,7.8
2025-12-09,7,328,2.13%,8.2
2025-12-10,10,322,3.11%,7.9
2025-12-11,7,341,2.05%,8.5
2025-12-12,6,318,1.89%,7.9
2025-12-13,1,154,0.65%,8.9
2025-12-14,3,163,1.84%,7.4
2025-12-15,10,371,2.7%,8
2025-12-16,7,328,2.13%,7.7
2025-12-17,6,318,1.89%,7.7
2025-12-18,8,325,2.46%,7.1
2025-12-19,6,228,2.63%,7.4
2025-12-20,2,125,1.6%,7.1
2025-12-21,3,104,2.88%,8.1
2025-12-22,14,293,4.78%,7.2
2025-12-23,4,185,2.16%,7
2025-12-24,2,91,2.2%,7.7
2025-12-25,0,80,0%,6.9
2025-12-26,3,200,1.5%,7.2
2025-12-27,5,107,4.67%,7.1
2025-12-28,4,142,2.82%,6.4
2025-12-29,11,290,3.79%,7.2
2025-12-30,4,206,1.94%,6.9
2025-12-31,3,100,3%,7.6
2026-01-01,1,72,1.39%,6.8
2026-01-02,3,137,2.19%,7.4
2026-01-03,4,116,3.45%,6
2026-01-04,5,196,2.55%,7.4
2026-01-05,9,437,2.06%,7.7
2026-01-06,5,386,1.3%,7.5
2026-01-07,8,389,2.06%,7
2026-01-08,11,464,2.37%,7
2026-01-09,4,335,1.19%,7.2
2026-01-10,7,233,3%,6.4
2026-01-11,5,237,2.11%,6.9
2026-01-12,11,512,2.15%,8
2026-01-13,13,616,2.11%,8.1
2026-01-14,12,595,2.02%,8.1
2026-01-15,10,495,2.02%,7.9
2026-01-16,6,517,1.16%,8.2
2026-01-17,10,243,4.12%,7
2026-01-18,6,246,2.44%,7.3
2026-01-19,15,545,2.75%,7.8
2026-01-20,15,645,2.33%,7.7
2026-01-21,18,549,3.28%,7.8
2026-01-22,20,548,3.65%,7.2
2026-01-23,10,466,2.15%,7.6
2026-01-24,4,248,1.61%,7.5
2026-01-25,4,223,1.79%,7.3
2026-01-26,17,511,3.33%,7.7
2026-01-27,11,567,1.94%,7.9
2026-01-28,7,500,1.4%,7.6
2026-01-29,10,522,1.92%,7.9
2026-01-30,4,404,0.99%,7.9
2026-01-31,4,203,1.97%,7.5
2026-02-01,1,175,0.57%,7
2026-02-02,12,482,2.49%,7.6
2026-02-03,14,394,3.55%,7.4
2026-02-04,11,436,2.52%,7.6
2026-02-05,10,359,2.79%,7.7
2026-02-06,13,348,3.74%,6.9
